grader_type,sigma,rbf_score,accuracy,spearman
accuracy_70pct,0.1,74.0,0.74,0.7567893444553911
accuracy_60pct,0.1,69.0,0.69,0.5021243837970714
correlation_70pct,0.1,41.0,0.41,0.5998076397828012
correlation_60pct,0.1,38.0,0.38,0.47212958382393944
accuracy_80pct,0.1,82.0,0.82,0.7865048604464266
accuracy_70pct,0.1,78.0,0.78,0.740120949659249
accuracy_60pct,0.1,68.0,0.68,0.6057419795158118
correlation_70pct,0.1,43.0,0.43,0.5656347289733009
correlation_60pct,0.1,41.0,0.41,0.5806734713337662
accuracy_80pct,0.1,87.0,0.87,0.8670100509772274
accuracy_70pct,0.1,73.0,0.73,0.6649241373632345
accuracy_60pct,0.1,67.0,0.67,0.6566205741096034
correlation_70pct,0.1,48.0,0.48,0.6970712445030611
correlation_60pct,0.1,43.0,0.43,0.436106211255124
accuracy_80pct,0.1,85.0,0.85,0.8581915638881614
accuracy_70pct,0.1,79.0,0.79,0.7417332269031526
accuracy_60pct,0.1,67.0,0.67,0.5754746509792967
correlation_70pct,0.1,43.0,0.43,0.6736146676700157
correlation_60pct,0.1,48.0,0.48,0.6827408302217256
accuracy_80pct,0.1,87.0,0.87,0.8574592130366554
accuracy_70pct,0.1,78.0,0.78,0.5957430528585662
accuracy_60pct,0.1,76.0,0.76,0.7800752944954429
correlation_70pct,0.1,41.0,0.41,0.49453598685341504
correlation_60pct,0.1,33.0,0.33,0.4520812982462388
accuracy_80pct,0.1,85.0,0.85,0.8029355124714872
accuracy_70pct,0.1,80.0,0.8,0.7170688440900054
accuracy_60pct,0.1,68.0,0.68,0.5885548209737632
correlation_70pct,0.1,42.0,0.42,0.6682130117076325
correlation_60pct,0.1,34.0,0.34,0.4642887133522904
accuracy_80pct,0.1,86.0,0.86,0.7430474004182106
accuracy_70pct,0.1,84.0,0.84,0.691593820369483
accuracy_60pct,0.1,69.0,0.69,0.5618873680356695
correlation_70pct,0.1,48.0,0.48,0.5608861839787199
correlation_60pct,0.1,42.0,0.42,0.5958639802205539
accuracy_80pct,0.1,85.0,0.85,0.8256139928029839
accuracy_70pct,0.1,77.0,0.77,0.6612899828070162
accuracy_60pct,0.1,70.0,0.7,0.6028393184805843
correlation_70pct,0.1,46.0,0.46,0.7240815135722272
correlation_60pct,0.1,38.0,0.38,0.5223440666909488
accuracy_80pct,0.1,90.0,0.9,0.8441402899435184
accuracy_70pct,0.1,77.0,0.77,0.7465059473363242
accuracy_60pct,0.1,70.0,0.7,0.6712121080739135
correlation_70pct,0.1,32.0,0.32,0.512712642976084
correlation_60pct,0.1,38.0,0.38,0.5071877592922945
accuracy_80pct,0.1,86.0,0.86,0.8101951166551764
accuracy_70pct,0.1,75.0,0.75,0.6368233614841217
accuracy_60pct,0.1,69.0,0.69,0.6327590572876634
correlation_70pct,0.1,32.0,0.32,0.6036149700563298
correlation_60pct,0.1,40.0,0.4,0.5243116943634786
accuracy_80pct,0.1,86.0,0.86,0.7200246696505549
accuracy_70pct,0.1,79.0,0.79,0.5675165712653012
accuracy_60pct,0.1,66.0,0.66,0.6158665730056838
correlation_70pct,0.1,46.0,0.46,0.664324198668267
correlation_60pct,0.1,39.0,0.39,0.5472582911318103
accuracy_80pct,0.1,84.0,0.84,0.8432733443090085
accuracy_70pct,0.1,76.0,0.76,0.7309950936678007
accuracy_60pct,0.1,68.0,0.68,0.699446927768335
correlation_70pct,0.1,39.0,0.39,0.704697903114731
correlation_60pct,0.1,39.0,0.39,0.4627967853943418
accuracy_80pct,0.1,88.0,0.88,0.8614771058029062
accuracy_70pct,0.1,78.0,0.78,0.8555058387599679
accuracy_60pct,0.1,69.0,0.69,0.478968557051804
correlation_70pct,0.1,40.0,0.4,0.6749785264583101
correlation_60pct,0.1,40.0,0.4,0.5630868087829131
accuracy_80pct,0.1,83.0,0.83,0.7919309468999286
accuracy_70pct,0.1,82.0,0.82,0.7975558249672494
accuracy_60pct,0.1,74.0,0.74,0.5855036905123124
correlation_70pct,0.1,36.0,0.36,0.4925088881991941
correlation_60pct,0.1,41.0,0.41,0.6725421388990133
accuracy_80pct,0.1,86.0,0.86,0.732234149273891
accuracy_70pct,0.1,79.0,0.79,0.7619851621910549
accuracy_60pct,0.1,71.0,0.71,0.6288917645035047
correlation_70pct,0.1,50.0,0.5,0.6763909870616232
correlation_60pct,0.1,25.0,0.25,0.2929765389783287
accuracy_80pct,0.1,81.0,0.81,0.68984953264525
accuracy_70pct,0.1,73.0,0.73,0.6366431303669857
accuracy_60pct,0.1,71.0,0.71,0.6184694417796838
correlation_70pct,0.1,35.0,0.35,0.5834039605519483
correlation_60pct,0.1,47.0,0.47,0.5482036717113857
accuracy_80pct,0.1,88.0,0.88,0.8665785773554945
accuracy_70pct,0.1,79.0,0.79,0.7460514053493494
accuracy_60pct,0.1,73.0,0.73,0.7140853447460936
correlation_70pct,0.1,41.0,0.41,0.6082545807614496
correlation_60pct,0.1,41.0,0.41,0.6008530328618528
accuracy_80pct,0.1,84.0,0.84,0.7580846577063383
accuracy_70pct,0.1,82.0,0.82,0.8157008764774181
accuracy_60pct,0.1,67.0,0.67,0.6446031641943789
correlation_70pct,0.1,38.0,0.38,0.6537157769217474
correlation_60pct,0.1,35.0,0.35,0.5322482110788225
accuracy_80pct,0.1,86.0,0.86,0.817043209047681
accuracy_70pct,0.1,76.0,0.76,0.7526342533478558
accuracy_60pct,0.1,67.0,0.67,0.5366932761269431
correlation_70pct,0.1,41.0,0.41,0.4970565761178218
correlation_60pct,0.1,36.0,0.36,0.5457392806742567
accuracy_80pct,0.1,87.0,0.87,0.810677747220581
accuracy_70pct,0.1,79.0,0.79,0.7142028424983043
accuracy_60pct,0.1,69.0,0.69,0.5133883712359552
correlation_70pct,0.1,36.0,0.36,0.6389187516578589
correlation_60pct,0.1,38.0,0.38,0.5194218254723887
accuracy_80pct,0.1,85.0,0.85,0.8892237357658654
accuracy_70pct,0.1,76.0,0.76,0.7089826043925055
accuracy_60pct,0.1,67.0,0.67,0.6685692001431633
correlation_70pct,0.1,41.0,0.41,0.5879597142763254
correlation_60pct,0.1,35.0,0.35,0.4194325153145436
accuracy_80pct,0.1,86.0,0.86,0.8203966847084243
accuracy_70pct,0.1,78.0,0.78,0.7005054258236437
accuracy_60pct,0.1,66.0,0.66,0.5722871465968141
correlation_70pct,0.1,45.0,0.45,0.6711298620224025
correlation_60pct,0.1,39.0,0.39,0.6404155376468244
accuracy_80pct,0.1,86.0,0.86,0.7554301267613995
accuracy_70pct,0.1,76.0,0.76,0.7129135983444532
accuracy_60pct,0.1,70.0,0.7,0.581626993443836
correlation_70pct,0.1,41.0,0.41,0.6113041593267245
correlation_60pct,0.1,43.0,0.43,0.6602476930728709
accuracy_80pct,0.1,83.0,0.83,0.8016557476414803
accuracy_70pct,0.1,77.0,0.77,0.6422217832874536
accuracy_60pct,0.1,69.0,0.69,0.5902501756287685
correlation_70pct,0.1,40.0,0.4,0.5987469741972156
correlation_60pct,0.1,36.0,0.36,0.6000102991142111
accuracy_80pct,0.1,83.0,0.83,0.7671218366310454
accuracy_70pct,0.1,78.0,0.78,0.657001139230114
accuracy_60pct,0.1,70.0,0.7,0.5904609720471067
correlation_70pct,0.1,44.0,0.44,0.7009134233247166
correlation_60pct,0.1,35.0,0.35,0.5134365962690365
accuracy_80pct,0.1,82.0,0.82,0.81577585137293
accuracy_70pct,0.1,75.0,0.75,0.6320404728125918
accuracy_60pct,0.1,66.0,0.66,0.4751969437477343
correlation_70pct,0.1,39.0,0.39,0.5771075563402671
correlation_60pct,0.1,32.0,0.32,0.5231977001729667
accuracy_80pct,0.1,83.0,0.83,0.7834439194721247
accuracy_70pct,0.1,77.0,0.77,0.6381819983949709
accuracy_60pct,0.1,69.0,0.69,0.6752437278825579
correlation_70pct,0.1,46.0,0.46,0.5640862400916534
correlation_60pct,0.1,33.0,0.33,0.4615059508947485
accuracy_80pct,0.1,90.0,0.9,0.8470802200668984
accuracy_70pct,0.1,78.0,0.78,0.6599824114313011
accuracy_60pct,0.1,68.0,0.68,0.5770968355718977
correlation_70pct,0.1,43.0,0.43,0.5013116908207494
correlation_60pct,0.1,41.0,0.41,0.5994083535301954
accuracy_80pct,0.1,84.0,0.84,0.8650896324994031
accuracy_70pct,0.1,81.0,0.81,0.6864427024775313
accuracy_60pct,0.1,67.0,0.67,0.46116501957396067
correlation_70pct,0.1,49.0,0.49,0.6310818966532213
correlation_60pct,0.1,43.0,0.43,0.5586218162127062
accuracy_80pct,0.1,85.0,0.85,0.8429278542878567
accuracy_70pct,0.1,76.0,0.76,0.6742475663737858
accuracy_60pct,0.1,70.0,0.7,0.6726351811751597
correlation_70pct,0.1,42.0,0.42,0.6306013797151901
correlation_60pct,0.1,38.0,0.38,0.6308662744779058
accuracy_80pct,0.1,86.0,0.86,0.8218753052032667
accuracy_70pct,0.1,77.0,0.77,0.6820654217527284
accuracy_60pct,0.1,72.0,0.72,0.7115193989572101
correlation_70pct,0.1,44.0,0.44,0.6611918689396278
correlation_60pct,0.1,35.0,0.35,0.4375745955509544
accuracy_80pct,0.1,85.0,0.85,0.7947330356648191
accuracy_70pct,0.1,77.0,0.77,0.7066624105349335
accuracy_60pct,0.1,73.0,0.73,0.6811808377247067
correlation_70pct,0.1,38.0,0.38,0.561088558338442
correlation_60pct,0.1,42.0,0.42,0.5785177117820539
accuracy_80pct,0.1,86.0,0.86,0.8544593630048413
accuracy_70pct,0.1,82.0,0.82,0.8189508122576993
accuracy_60pct,0.1,71.0,0.71,0.58221059555871
correlation_70pct,0.1,36.0,0.36,0.5341725075010836
correlation_60pct,0.1,31.0,0.31,0.5408056070897405
accuracy_80pct,0.1,84.0,0.84,0.8658915262988515
accuracy_70pct,0.1,79.0,0.79,0.5678871514351032
accuracy_60pct,0.1,74.0,0.74,0.7096377020057064
correlation_70pct,0.1,36.0,0.36,0.4652882511131701
correlation_60pct,0.1,39.0,0.39,0.5468438059171103
