simulation,grader_type,rbf_score,accuracy,spearman
62,correlation_60pct,53.507211219995995,0.37,0.5707265303030197
63,accuracy_80pct,86.92060361834525,0.85,0.7654829472655157
63,accuracy_70pct,79.85207755113218,0.74,0.6434225439327758
63,accuracy_60pct,76.19880421309632,0.71,0.6183509616588165
63,correlation_70pct,58.23877186887483,0.39,0.6465732388620379
63,correlation_60pct,57.47049809931255,0.4,0.6104259411938943
64,accuracy_80pct,89.59085946190913,0.87,0.8439967290834802
64,accuracy_70pct,81.44394346247385,0.77,0.6655569510291146
64,accuracy_60pct,72.36423889193988,0.66,0.6000266932534348
64,correlation_70pct,60.62067555882755,0.46,0.518622871512494
64,correlation_60pct,55.81701935614745,0.39,0.5787507099069336
65,accuracy_80pct,86.27840608106568,0.83,0.74555796730391
65,accuracy_70pct,79.13403270494317,0.75,0.6778941255937603
65,accuracy_60pct,76.14806218282686,0.71,0.5412004979904429
65,correlation_70pct,60.09306772400131,0.43,0.6524935397436431
65,correlation_60pct,49.38439636660762,0.37,0.43664430788208164
66,accuracy_80pct,87.59096224565914,0.85,0.7933861949143342
66,accuracy_70pct,80.42716636207507,0.76,0.6807868674968304
66,accuracy_60pct,74.05116937689408,0.67,0.6698080103727585
66,correlation_70pct,52.97960338516975,0.34,0.6427451774599249
66,correlation_60pct,48.588862693483314,0.31,0.40043617040929713
67,accuracy_80pct,83.67240839520261,0.8,0.695553162255496
67,accuracy_70pct,82.46051532011417,0.78,0.7641295346716138
67,accuracy_60pct,76.5422694961661,0.71,0.6351345511921249
67,correlation_70pct,60.65422992199589,0.46,0.6635467797285285
67,correlation_60pct,49.51666443711743,0.27,0.6262876781398199
68,accuracy_80pct,88.7029065410497,0.84,0.8764461452693326
68,accuracy_70pct,80.75680765357579,0.77,0.7395012206435304
68,accuracy_60pct,72.65716738749869,0.66,0.557237608460577
68,correlation_70pct,58.861546898692836,0.4,0.7034122045380472
68,correlation_60pct,52.53812033847233,0.35,0.4992038280998997
69,accuracy_80pct,84.6891854956014,0.81,0.7131399350962051
69,accuracy_70pct,87.03265061630043,0.83,0.8105110123938875
69,accuracy_60pct,79.24607970289834,0.73,0.7234233347071916
69,correlation_70pct,56.42301720438128,0.4,0.5439829339320231
69,correlation_60pct,54.83389924029623,0.38,0.5643329216860623
70,accuracy_80pct,88.26417144160891,0.86,0.8468138375956895
70,accuracy_70pct,81.75670495101119,0.78,0.7619802988202694
70,accuracy_60pct,76.11735838829439,0.72,0.5447561516446986
70,correlation_70pct,54.786315642800346,0.39,0.5803402320006086
70,correlation_60pct,51.17777533362451,0.34,0.5482662083295915
71,accuracy_80pct,89.29487515495599,0.86,0.8430293290198863
71,accuracy_70pct,81.7091213535153,0.79,0.6748749209081328
71,accuracy_60pct,73.19900969941095,0.68,0.45475056678126363
71,correlation_70pct,59.81386059863234,0.42,0.6873405802876364
71,correlation_60pct,60.749397116987666,0.44,0.6507689696280136
72,accuracy_80pct,88.9176502659594,0.86,0.7863041724257261
72,accuracy_70pct,82.42696095694583,0.78,0.6799934304230085
72,accuracy_60pct,72.95345955858953,0.67,0.5444644990458842
72,correlation_70pct,55.53781223077847,0.38,0.6091808462209357
72,correlation_60pct,57.358553722736616,0.42,0.5367265293272675
73,accuracy_80pct,87.57428768545421,0.85,0.8144493135427522
73,accuracy_70pct,81.44394346247387,0.77,0.7800609894030809
73,accuracy_60pct,76.9026145821993,0.71,0.6937534831103193
73,correlation_70pct,57.25565175302361,0.38,0.7298074092105399
73,correlation_60pct,47.54138179855205,0.31,0.40215122657746843
74,accuracy_80pct,85.29782866971263,0.83,0.6971603211266594
74,accuracy_70pct,83.11419938722314,0.78,0.7722119547275035
74,accuracy_60pct,74.2156841784305,0.69,0.5256005195780109
74,correlation_70pct,61.0929650214367,0.44,0.7056878048760451
74,correlation_60pct,51.78937169775084,0.37,0.5442285567578233
75,accuracy_80pct,86.59096232684453,0.84,0.7419962881459855
75,accuracy_70pct,83.345720293717,0.8,0.7270904274041389
75,accuracy_60pct,73.01761509491114,0.66,0.6128293211149333
75,correlation_70pct,58.2800610067644,0.45,0.5867691324816386
75,correlation_60pct,56.42301720438128,0.4,0.592182955356249
76,accuracy_80pct,86.95141003425695,0.84,0.7884403107240621
76,accuracy_70pct,82.37947998082919,0.79,0.7428541169428915
76,accuracy_60pct,80.22909719737031,0.74,0.7282666782931724
76,correlation_70pct,63.059205253139126,0.46,0.7516299202134331
76,correlation_60pct,47.88209913436522,0.3,0.4250421284701689
77,accuracy_80pct,88.96808443209113,0.86,0.8363381306619613
