simulation,grader_type,linear_score,accuracy,spearman
95,accuracy_70pct,90.0,0.76,0.7115578541684019
95,accuracy_60pct,86.5,0.7,0.6041590769184634
95,correlation_70pct,79.25,0.34,0.5207696937215704
95,correlation_60pct,79.25,0.34,0.5448529296203508
96,accuracy_80pct,94.0,0.85,0.8150916283226403
96,accuracy_70pct,90.0,0.77,0.6806540612829434
96,accuracy_60pct,85.75,0.7,0.5175683181010786
96,correlation_70pct,83.25,0.42,0.6643912940510619
96,correlation_60pct,77.25,0.37,0.46420633082351853
97,accuracy_80pct,94.25,0.86,0.8173643568460787
97,accuracy_70pct,91.0,0.76,0.7494122555314399
97,accuracy_60pct,87.5,0.71,0.5651954552091761
97,correlation_70pct,80.5,0.38,0.5682130990292593
97,correlation_60pct,79.5,0.35,0.5750707948846865
98,accuracy_80pct,94.0,0.84,0.8440954255416432
98,accuracy_70pct,89.5,0.77,0.6902066695335141
98,accuracy_60pct,87.75,0.7,0.6718598553331937
98,correlation_70pct,81.75,0.42,0.6501433606929935
98,correlation_60pct,81.5,0.46,0.6106999122778689
99,accuracy_80pct,92.5,0.85,0.7265668811321151
99,accuracy_70pct,92.0,0.76,0.7514799942556774
99,accuracy_60pct,88.5,0.71,0.6531549405446323
99,correlation_70pct,80.5,0.37,0.5444265664143035
99,correlation_60pct,78.5,0.34,0.49840934503983153
100,accuracy_80pct,94.75,0.86,0.8725965764754969
100,accuracy_70pct,89.5,0.77,0.6405829134629778
100,accuracy_60pct,86.25,0.73,0.4887221653230424
100,correlation_70pct,84.75,0.48,0.6986388865815645
100,correlation_60pct,79.5,0.35,0.56645918171899
